date	tau	Tb	pwv	lwp	iwp	o3
2021-04-12_16.00.00	3.1843e-01	7.4770e+01	5.0889e+00	1.2608e-02	1.1122e-01	3.8491e+02
2021-04-12_17.00.00	3.2305e-01	7.6119e+01	3.9064e+00	4.1800e-02	2.2459e-02	3.8747e+02
2021-04-12_18.00.00	2.9461e-01	7.0980e+01	3.0417e+00	4.7745e-02	7.8610e-03	3.8972e+02
2021-04-12_21.00.00	2.2779e-01	5.7475e+01	2.6169e+00	2.7814e-02	7.9719e-03	4.0484e+02
2021-04-13_00.00.00	1.7891e-01	4.6912e+01	2.7962e+00	1.0612e-03	1.2510e-02	4.1466e+02
2021-04-13_03.00.00	2.0230e-01	5.1504e+01	3.3247e+00		1.8874e-02	4.1661e+02
2021-04-13_06.00.00	1.9474e-01	4.9730e+01	3.2719e+00		9.3033e-04	4.2180e+02
2021-04-13_09.00.00	1.7197e-01	4.4939e+01	2.8703e+00	1.2310e-04	1.3779e-04	4.2625e+02
2021-04-13_12.00.00	1.4932e-01	4.0030e+01	2.4748e+00	2.6140e-04	5.5060e-05	4.2812e+02
2021-04-13_15.00.00	1.0981e-01	3.0937e+01	1.8281e+00		4.4838e-04	4.3569e+02
2021-04-13_18.00.00	3.9168e-02	1.4271e+01	4.0129e-01			4.3368e+02
2021-04-13_21.00.00	4.1969e-02	1.4949e+01	4.7076e-01			4.2282e+02
2021-04-14_00.00.00	4.8086e-02	1.6434e+01	6.0413e-01			4.1802e+02
2021-04-14_03.00.00	5.7739e-02	1.8754e+01	8.1542e-01			4.1274e+02
2021-04-14_06.00.00	7.8518e-02	2.3654e+01	1.2659e+00			4.0692e+02
2021-04-14_09.00.00	9.3963e-02	2.7320e+01	1.5889e+00			4.0368e+02
2021-04-14_12.00.00	1.0915e-01	3.0844e+01	1.9095e+00		3.7687e-05	3.9842e+02
2021-04-14_15.00.00	1.2911e-01	3.5320e+01	2.3368e+00		1.0044e-03	3.8410e+02
2021-04-14_18.00.00	1.3661e-01	3.6964e+01	2.5096e+00		1.1948e-03	3.7136e+02
2021-04-14_21.00.00	1.3196e-01	3.5976e+01	2.4126e+00		9.3189e-03	3.7267e+02
2021-04-15_00.00.00	1.2366e-01	3.4080e+01	2.2496e+00		6.8972e-03	3.8353e+02
2021-04-15_03.00.00	1.1364e-01	3.1767e+01	2.0487e+00		8.0416e-03	3.8863e+02
2021-04-15_06.00.00	1.1669e-01	3.2397e+01	2.1237e+00		1.0531e-03	3.8920e+02
2021-04-15_09.00.00	1.2452e-01	3.4189e+01	2.2702e+00		1.8047e-04	3.8788e+02
2021-04-15_12.00.00	1.4135e-01	3.8077e+01	2.5758e+00		1.2038e-05	3.9234e+02
2021-04-15_15.00.00	1.6123e-01	4.2618e+01	2.9258e+00		2.7719e-04	3.9326e+02
2021-04-15_18.00.00	1.3192e-01	3.6155e+01	2.3676e+00		5.2590e-05	3.9570e+02
2021-04-15_21.00.00	1.1906e-01	3.3662e+01	1.9813e+00		1.0850e-04	3.9397e+02
